age,gender,lifetime_usage_months,music_output,spotify_subscription_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_influencial_mood,music_recommendation_rating,podcast_variety_satisfaction,premium_sub_interested,sub_retention,preferred_plan_type,preferred_plan_cost,music_listening_frequency_grouped,music_exploration_method_grouped,favorite_podcast_genre_grouped
1,0,2,2,0,1,4,2,8,3,3,1,0,1,179.0,0,10,1
0,1,2,0,0,1,7,0,10,2,4,1,0,2,119.0,31,10,1
2,2,3,2,0,1,6,2,0,4,4,1,0,3,59.0,26,10,7
1,0,1,1,0,0,4,2,3,4,3,0,0,4,,7,13,11
1,0,1,3,0,0,4,2,0,4,3,0,0,4,,0,13,4
1,1,2,3,0,0,6,2,11,3,3,0,0,4,,31,0,11
1,0,1,3,0,0,4,1,0,3,3,0,0,4,,16,16,11
1,0,0,3,0,0,4,2,10,5,4,0,0,4,,0,16,4
1,0,0,3,0,0,4,0,4,4,4,1,0,2,119.0,12,11,1
1,0,2,3,0,0,4,2,0,4,3,0,0,4,,21,16,11
1,0,2,3,0,0,4,0,4,3,4,0,0,4,,12,10,4
1,0,1,3,0,0,4,2,4,3,3,0,0,4,,12,13,1
1,0,1,1,0,0,4,1,0,3,3,0,0,4,,16,10,4
1,0,2,3,0,0,4,2,6,1,3,0,0,4,,20,7,1
1,0,2,3,0,0,6,1,0,5,5,1,0,4,,16,13,4
1,0,2,3,0,0,6,0,4,2,1,0,0,4,,5,0,11
1,0,0,3,0,0,4,0,0,1,4,1,0,2,119.0,12,11,1
1,0,0,3,0,0,4,2,10,4,3,0,0,4,,24,16,11
1,0,2,3,0,0,4,2,0,3,3,0,0,4,,0,16,11
1,0,1,3,0,0,4,2,8,4,3,1,0,2,119.0,12,16,11
1,0,1,3,0,0,4,2,1,4,3,0,0,4,,12,13,11
1,1,2,3,0,0,1,1,0,5,3,1,0,2,119.0,16,16,11
1,0,0,3,0,0,4,2,0,4,4,0,0,4,,29,16,1
1,0,2,1,1,0,9,2,6,1,5,1,1,2,119.0,13,12,1
1,1,2,1,1,0,8,2,1,3,3,1,1,1,179.0,25,15,4
1,0,1,3,0,0,6,2,0,4,3,0,0,4,,13,0,11
0,1,3,1,1,1,7,1,0,4,4,1,1,3,59.0,21,16,4
2,1,0,3,0,0,5,2,0,1,1,0,0,4,,0,16,11
1,0,0,3,0,0,6,2,0,4,3,0,0,4,,20,16,11
1,0,3,1,0,1,4,2,4,3,4,0,0,4,,8,16,1
1,0,3,3,0,0,4,1,0,4,4,0,0,4,,29,10,4
1,1,1,3,0,0,6,2,0,5,4,0,0,4,,16,10,1
0,1,2,3,0,0,6,2,11,3,3,0,0,4,,31,13,11
0,1,2,3,0,0,6,2,0,3,3,1,0,4,,29,16,1
1,0,0,3,0,0,4,2,6,4,3,0,0,4,,12,10,1
0,1,1,3,0,0,7,2,11,1,3,0,0,4,,31,0,11
1,0,2,1,0,0,6,1,11,3,3,0,0,4,,5,12,0
1,0,2,1,0,0,4,2,3,3,4,1,0,2,119.0,13,13,1
0,0,2,3,0,0,4,2,0,4,4,0,0,4,,12,16,1
0,0,2,1,0,0,6,2,4,3,3,0,0,4,,8,10,11
0,0,2,3,0,0,4,2,0,4,3,0,0,4,,12,4,1
0,1,1,3,0,0,6,2,0,3,3,0,0,4,,30,10,11
0,0,2,3,0,0,6,2,11,4,5,1,0,3,59.0,11,13,1
0,1,1,1,0,0,9,0,7,5,5,0,0,4,,13,7,4
1,0,0,3,0,0,4,2,1,5,4,0,0,4,,20,13,1
1,1,1,3,0,0,4,2,0,5,3,0,0,4,,12,10,11
0,1,1,3,0,1,9,0,8,3,3,0,0,4,,30,0,4
2,1,1,1,0,1,4,1,8,4,4,1,0,3,59.0,13,13,3
1,0,0,1,0,0,4,1,0,3,3,0,0,4,,12,13,1
1,1,1,1,1,0,2,2,5,4,5,1,1,2,119.0,13,16,1
1,1,2,1,0,0,4,2,0,3,2,0,0,4,,12,11,4
0,0,1,2,0,0,6,2,0,4,3,0,0,4,,0,0,1
1,1,0,3,0,0,7,2,1,4,3,1,0,2,119.0,16,0,11
1,0,1,3,0,1,4,2,4,4,5,0,0,4,,13,13,4
1,0,2,1,0,0,6,2,3,3,4,0,0,4,,5,15,4
0,0,2,3,0,0,0,1,4,5,3,0,0,4,,14,10,11
1,1,0,3,0,0,9,0,0,3,3,0,0,4,,12,10,4
1,0,3,3,0,0,4,2,0,4,4,0,0,4,,29,10,1
1,0,2,1,0,0,6,1,0,4,4,0,0,4,,30,13,1
1,1,2,1,1,0,6,2,6,5,4,1,1,1,179.0,13,13,11
1,1,2,3,0,0,9,2,5,4,4,1,0,4,,12,16,7
1,1,0,3,0,0,6,2,11,3,3,0,0,4,,0,0,11
1,1,0,3,0,0,4,0,7,3,3,0,0,4,,12,0,7
1,0,0,3,0,0,4,2,0,3,4,0,0,4,,0,10,4
0,1,0,0,0,0,7,0,0,3,3,0,0,4,,12,16,11
1,1,3,3,0,0,4,2,1,3,3,0,0,4,,0,7,11
1,1,2,1,1,0,4,2,7,5,5,1,1,2,119.0,13,13,1
1,1,2,1,1,0,4,2,4,4,4,1,1,2,119.0,16,13,1
1,0,0,3,0,0,4,2,6,4,3,0,0,4,,12,10,3
1,0,1,1,0,0,4,0,0,5,3,1,0,2,119.0,0,16,11
1,0,1,1,0,0,4,2,0,5,4,0,0,4,,21,10,4
1,0,0,3,0,0,2,0,11,3,3,0,0,4,,29,10,11
1,0,2,3,0,0,4,2,1,5,5,0,0,4,,0,13,4
1,0,0,1,0,0,4,1,10,2,3,0,0,4,,5,0,1
0,0,3,0,1,1,4,0,11,2,3,0,0,4,,29,14,4
1,2,1,2,1,1,7,0,12,4,4,1,1,3,59.0,13,0,3
1,0,2,4,0,1,7,2,8,2,5,1,0,0,149.0,25,16,4
2,1,1,0,0,1,6,0,10,5,3,1,0,2,119.0,31,14,1
0,0,1,0,0,1,4,0,8,3,5,1,0,2,119.0,29,14,4
0,0,1,0,0,1,9,0,11,3,4,1,0,0,149.0,25,14,4
1,0,3,3,0,0,4,0,0,4,3,0,0,4,,0,0,11
0,0,0,3,0,1,7,1,0,3,3,1,0,0,149.0,25,14,3
2,1,0,3,0,1,9,2,0,4,4,0,0,4,,0,16,1
0,2,3,0,0,0,4,1,11,3,4,1,0,2,119.0,29,14,4
1,0,1,3,0,0,4,2,0,3,3,0,0,4,,0,10,1
1,1,3,0,0,1,7,1,8,3,5,1,0,0,149.0,29,10,7
0,1,3,0,0,1,7,0,11,3,3,0,0,4,,25,0,7
1,0,1,3,0,0,4,2,0,4,3,0,0,4,,12,16,11
1,0,0,3,0,1,2,2,0,5,5,1,0,2,119.0,16,10,1
2,2,2,2,0,1,9,1,11,4,4,0,0,4,,29,16,4
1,0,2,3,0,0,4,2,6,5,4,1,0,2,119.0,1,4,1
1,0,0,3,1,0,9,2,0,3,4,1,1,2,119.0,16,10,4
1,0,0,3,0,0,4,2,0,3,3,0,0,4,,0,16,11
0,0,2,3,0,0,4,1,6,4,5,0,0,4,,13,13,1
